,diseases,symptons
53,Chronic cholestasis," nausea,  yellowing of eyes,  vomiting, itching,  yellowish skin,  loss of appetite"
54,Chronic cholestasis," vomiting,  nausea,  abdominal pain,  loss of appetite,  yellowish skin, itching"
55,Chronic cholestasis," vomiting,  nausea,  abdominal pain,  loss of appetite,  yellowish skin, itching"
56,Chronic cholestasis," vomiting, itching,  yellowing of eyes,  abdominal pain,  loss of appetite"
57,Chronic cholestasis," vomiting, itching,  yellowing of eyes,  abdominal pain,  loss of appetite"
58,Chronic cholestasis," yellowing of eyes,  nausea,  loss of appetite,  yellowish skin, itching,  abdominal pain,  vomiting"
59,Chronic cholestasis," yellowing of eyes,  nausea,  loss of appetite,  yellowish skin, itching,  abdominal pain,  vomiting"
60,Drug Reaction," burning micturition,  skin rash,  stomach pain,  spotting  urination"
61,Drug Reaction," burning micturition,  skin rash,  stomach pain,  spotting  urination"
62,Drug Reaction," spotting  urination,  burning micturition,  stomach pain, itching"
63,Drug Reaction," spotting  urination,  skin rash,  burning micturition, itching"
64,Drug Reaction," spotting  urination,  skin rash, itching,  stomach pain"
65,Drug Reaction," burning micturition,  skin rash,  stomach pain, itching"
66,Drug Reaction," spotting  urination,  skin rash,  stomach pain,  burning micturition"
67,Drug Reaction,"itching,  burning micturition,  stomach pain,  spotting  urination"
68,Drug Reaction," skin rash,  spotting  urination, itching,  burning micturition"
69,Drug Reaction," skin rash,  stomach pain, itching,  spotting  urination"
70,Drug Reaction," burning micturition, itching,  skin rash,  stomach pain"
71,Peptic ulcer diseae," loss of appetite,  vomiting,  passage of gases,  internal itching,  abdominal pain"
72,Peptic ulcer diseae," loss of appetite,  vomiting,  passage of gases,  internal itching,  abdominal pain"
73,Peptic ulcer diseae," indigestion,  internal itching,  abdominal pain,  passage of gases"
74,Peptic ulcer diseae," indigestion,  internal itching,  abdominal pain,  passage of gases"
75,Peptic ulcer diseae," indigestion,  loss of appetite,  internal itching,  abdominal pain,  passage of gases"
76,Peptic ulcer diseae," indigestion,  loss of appetite,  internal itching,  abdominal pain,  passage of gases"
77,Peptic ulcer diseae," loss of appetite,  vomiting,  internal itching,  passage of gases,  abdominal pain"
78,Peptic ulcer diseae," loss of appetite,  vomiting,  internal itching,  passage of gases,  abdominal pain"
79,Peptic ulcer diseae," internal itching,  abdominal pain,  indigestion,  vomiting,  passage of gases"
80,Peptic ulcer diseae," internal itching,  abdominal pain,  indigestion,  vomiting,  passage of gases"
81,Peptic ulcer diseae," loss of appetite,  vomiting,  passage of gases,  internal itching"
82,Peptic ulcer diseae," loss of appetite,  vomiting,  passage of gases,  internal itching"
83,Peptic ulcer diseae," indigestion,  internal itching,  loss of appetite,  abdominal pain,  vomiting"
84,Peptic ulcer diseae," indigestion,  internal itching,  loss of appetite,  abdominal pain,  vomiting"
85,Peptic ulcer diseae," vomiting,  passage of gases,  indigestion,  loss of appetite,  abdominal pain"
86,Peptic ulcer diseae," vomiting,  passage of gases,  indigestion,  loss of appetite,  abdominal pain"
87,Peptic ulcer diseae," loss of appetite,  internal itching,  abdominal pain,  passage of gases,  vomiting,  indigestion"
88,Peptic ulcer diseae," loss of appetite,  internal itching,  abdominal pain,  passage of gases,  vomiting,  indigestion"
89,Peptic ulcer diseae," passage of gases,  internal itching,  loss of appetite,  abdominal pain"
90,Peptic ulcer diseae," passage of gases,  internal itching,  loss of appetite,  abdominal pain"
91,AIDS," high fever,  extra marital contacts,  muscle wasting,  patches in throat"
92,AIDS," patches in throat,  high fever,  extra marital contacts"
93,AIDS," muscle wasting,  high fever,  extra marital contacts"
94,AIDS," extra marital contacts,  muscle wasting,  patches in throat"
95,AIDS," muscle wasting,  high fever,  patches in throat"
96,AIDS," muscle wasting,  patches in throat,  extra marital contacts,  high fever"
97,AIDS," muscle wasting,  high fever,  extra marital contacts,  patches in throat"
98,AIDS," extra marital contacts,  high fever,  patches in throat"
99,AIDS," extra marital contacts,  muscle wasting,  high fever"
100,AIDS," patches in throat,  muscle wasting,  high fever"
101,Diabetes ," restlessness,  polyuria,  fatigue,  excessive hunger,  blurred and distorted vision,  obesity"
102,Diabetes ," restlessness,  polyuria,  fatigue,  excessive hunger,  blurred and distorted vision,  obesity"
103,Diabetes ," restlessness,  polyuria,  fatigue,  excessive hunger,  blurred and distorted vision,  obesity"
104,Diabetes ," restlessness,  polyuria,  fatigue,  excessive hunger,  blurred and distorted vision,  obesity"
105,Diabetes ," weight loss,  restlessness,  polyuria,  lethargy"
106,Diabetes ," weight loss,  restlessness,  polyuria,  lethargy"
107,Diabetes ," weight loss,  restlessness,  polyuria,  lethargy"
108,Diabetes ," weight loss,  restlessness,  polyuria,  lethargy"
109,Diabetes ," excessive hunger,  restlessness,  irregular sugar level,  obesity,  polyuria,  weight loss,  increased appetite"
110,Diabetes ," excessive hunger,  restlessness,  irregular sugar level,  obesity,  polyuria,  weight loss,  increased appetite"
111,Diabetes ," excessive hunger,  restlessness,  irregular sugar level,  obesity,  polyuria,  weight loss,  increased appetite"
112,Diabetes ," excessive hunger,  restlessness,  irregular sugar level,  obesity,  polyuria,  weight loss,  increased appetite"
113,Diabetes ," polyuria,  lethargy,  obesity,  fatigue,  blurred and distorted vision,  excessive hunger,  restlessness"
114,Diabetes ," polyuria,  lethargy,  obesity,  fatigue,  blurred and distorted vision,  excessive hunger,  restlessness"
115,Diabetes ," polyuria,  lethargy,  obesity,  fatigue,  blurred and distorted vision,  excessive hunger,  restlessness"
116,Diabetes ," polyuria,  lethargy,  obesity,  fatigue,  blurred and distorted vision,  excessive hunger,  restlessness"
117,Diabetes ," fatigue,  polyuria,  blurred and distorted vision,  increased appetite,  irregular sugar level,  obesity"
118,Diabetes ," fatigue,  polyuria,  blurred and distorted vision,  increased appetite,  irregular sugar level,  obesity"
119,Diabetes ," fatigue,  polyuria,  blurred and distorted vision,  increased appetite,  irregular sugar level,  obesity"
120,Diabetes ," fatigue,  polyuria,  blurred and distorted vision,  increased appetite,  irregular sugar level,  obesity"
121,Diabetes ," restlessness,  obesity,  weight loss,  blurred and distorted vision,  irregular sugar level,  excessive hunger,  polyuria"
122,Diabetes ," restlessness,  obesity,  weight loss,  blurred and distorted vision,  irregular sugar level,  excessive hunger,  polyuria"
123,Diabetes ," restlessness,  obesity,  weight loss,  blurred and distorted vision,  irregular sugar level,  excessive hunger,  polyuria"
124,Diabetes ," restlessness,  obesity,  weight loss,  blurred and distorted vision,  irregular sugar level,  excessive hunger,  polyuria"
125,Diabetes ," weight loss,  blurred and distorted vision,  increased appetite,  excessive hunger,  polyuria"
126,Diabetes ," weight loss,  blurred and distorted vision,  increased appetite,  excessive hunger,  polyuria"
127,Diabetes ," weight loss,  blurred and distorted vision,  increased appetite,  excessive hunger,  polyuria"
128,Diabetes ," weight loss,  blurred and distorted vision,  increased appetite,  excessive hunger,  polyuria"
129,Diabetes ," fatigue,  lethargy,  excessive hunger,  irregular sugar level"
130,Diabetes ," fatigue,  lethargy,  excessive hunger,  irregular sugar level"
131,Diabetes ," fatigue,  lethargy,  excessive hunger,  irregular sugar level"
132,Diabetes ," fatigue,  lethargy,  excessive hunger,  irregular sugar level"
133,Diabetes ," irregular sugar level,  excessive hunger,  restlessness,  increased appetite,  polyuria,  weight loss"
134,Diabetes ," irregular sugar level,  excessive hunger,  restlessness,  increased appetite,  polyuria,  weight loss"
135,Diabetes ," irregular sugar level,  excessive hunger,  restlessness,  increased appetite,  polyuria,  weight loss"
136,Diabetes ," irregular sugar level,  excessive hunger,  restlessness,  increased appetite,  polyuria,  weight loss"
137,Diabetes ," weight loss,  fatigue,  blurred and distorted vision,  restlessness,  irregular sugar level,  polyuria"
138,Diabetes ," weight loss,  fatigue,  blurred and distorted vision,  restlessness,  irregular sugar level,  polyuria"
139,Diabetes ," weight loss,  fatigue,  blurred and distorted vision,  restlessness,  irregular sugar level,  polyuria"
140,Diabetes ," weight loss,  fatigue,  blurred and distorted vision,  restlessness,  irregular sugar level,  polyuria"
141,Gastroenteritis," dehydration,  vomiting,  diarrhoea,  sunken eyes"
142,Gastroenteritis," vomiting,  diarrhoea,  sunken eyes,  dehydration"
143,Gastroenteritis," diarrhoea,  dehydration,  sunken eyes"
144,Gastroenteritis," dehydration,  vomiting,  diarrhoea"
145,Gastroenteritis," sunken eyes,  diarrhoea,  vomiting"
146,Gastroenteritis," sunken eyes,  dehydration,  vomiting"
147,Gastroenteritis," diarrhoea,  sunken eyes,  vomiting,  dehydration"
148,Gastroenteritis," dehydration,  diarrhoea,  sunken eyes"
149,Gastroenteritis," diarrhoea,  vomiting,  dehydration"
150,Gastroenteritis," sunken eyes,  diarrhoea,  vomiting"
151,Bronchial Asthma," breathlessness,  mucoid sputum,  cough,  family history,  fatigue"
152,Bronchial Asthma," breathlessness,  mucoid sputum,  cough,  family history,  fatigue"
153,Bronchial Asthma," mucoid sputum,  cough,  family history,  breathlessness"
154,Bronchial Asthma," mucoid sputum,  cough,  family history,  breathlessness"
155,Bronchial Asthma," mucoid sputum,  fatigue,  family history,  breathlessness,  high fever"
156,Bronchial Asthma," mucoid sputum,  fatigue,  family history,  breathlessness,  high fever"
157,Bronchial Asthma," cough,  breathlessness,  family history,  fatigue"
158,Bronchial Asthma," cough,  breathlessness,  family history,  fatigue"
159,Bronchial Asthma," family history,  cough,  fatigue,  mucoid sputum,  high fever"
160,Bronchial Asthma," family history,  cough,  fatigue,  mucoid sputum,  high fever"
161,Bronchial Asthma," fatigue,  cough,  high fever,  mucoid sputum,  breathlessness"
162,Bronchial Asthma," fatigue,  cough,  high fever,  mucoid sputum,  breathlessness"
163,Bronchial Asthma," fatigue,  family history,  breathlessness,  high fever,  cough"
164,Bronchial Asthma," fatigue,  family history,  breathlessness,  high fever,  cough"
165,Bronchial Asthma," cough,  family history,  fatigue,  breathlessness,  high fever"
166,Bronchial Asthma," cough,  family history,  fatigue,  breathlessness,  high fever"
167,Bronchial Asthma," family history,  cough,  breathlessness,  high fever"
168,Bronchial Asthma," family history,  cough,  breathlessness,  high fever"
169,Bronchial Asthma," mucoid sputum,  family history,  fatigue,  breathlessness,  high fever"
170,Bronchial Asthma," mucoid sputum,  family history,  fatigue,  breathlessness,  high fever"
171,Hypertension ," headache,  dizziness,  chest pain,  lack of concentration,  loss of balance"
172,Hypertension ," headache,  dizziness,  chest pain,  lack of concentration,  loss of balance"
173,Hypertension ," chest pain,  dizziness,  loss of balance,  lack of concentration"
174,Hypertension ," headache,  loss of balance,  lack of concentration,  dizziness"
175,Hypertension ," chest pain,  lack of concentration,  headache,  loss of balance"
176,Hypertension ," lack of concentration,  chest pain,  headache,  dizziness"
177,Hypertension ," dizziness,  chest pain,  loss of balance,  headache"
178,Hypertension ," dizziness,  headache,  chest pain,  loss of balance,  lack of concentration"
179,Hypertension ," dizziness,  headache,  chest pain,  loss of balance,  lack of concentration"
180,Hypertension ," dizziness,  chest pain,  loss of balance,  lack of concentration"
181,Hypertension ," headache,  lack of concentration,  dizziness,  loss of balance"
182,Hypertension ," loss of balance,  headache,  lack of concentration,  chest pain"
183,Migraine," headache,  visual disturbances,  depression,  acidity,  excessive hunger,  blurred and distorted vision,  stiff neck"
184,Migraine," headache,  visual disturbances,  depression,  acidity,  excessive hunger,  blurred and distorted vision,  stiff neck"
185,Migraine," headache,  visual disturbances,  depression,  acidity,  excessive hunger,  blurred and distorted vision,  stiff neck"
186,Migraine," headache,  visual disturbances,  depression,  acidity,  excessive hunger,  blurred and distorted vision,  stiff neck"
187,Migraine," indigestion,  depression,  irritability,  blurred and distorted vision,  stiff neck"
188,Migraine," indigestion,  depression,  irritability,  blurred and distorted vision,  stiff neck"
189,Migraine," excessive hunger,  acidity,  blurred and distorted vision,  visual disturbances"
190,Migraine," excessive hunger,  acidity,  blurred and distorted vision,  visual disturbances"
191,Migraine," blurred and distorted vision,  excessive hunger,  depression,  irritability"
192,Migraine," blurred and distorted vision,  excessive hunger,  depression,  irritability"
193,Migraine," depression,  acidity,  irritability,  stiff neck,  visual disturbances"
194,Migraine," depression,  acidity,  irritability,  stiff neck,  visual disturbances"
195,Migraine," depression,  headache,  irritability,  indigestion,  acidity,  stiff neck"
196,Migraine," depression,  headache,  irritability,  indigestion,  acidity,  stiff neck"
197,Migraine," visual disturbances,  irritability,  blurred and distorted vision,  acidity,  depression,  indigestion,  excessive hunger"
198,Migraine," visual disturbances,  irritability,  blurred and distorted vision,  acidity,  depression,  indigestion,  excessive hunger"
199,Migraine," blurred and distorted vision,  acidity,  stiff neck,  visual disturbances,  indigestion"
200,Migraine," blurred and distorted vision,  acidity,  stiff neck,  visual disturbances,  indigestion"
201,Migraine," stiff neck,  headache,  acidity,  depression,  blurred and distorted vision"
202,Migraine," stiff neck,  headache,  acidity,  depression,  blurred and distorted vision"
203,Migraine," headache,  depression,  acidity,  indigestion,  excessive hunger,  blurred and distorted vision,  stiff neck"
204,Migraine," headache,  depression,  acidity,  indigestion,  excessive hunger,  blurred and distorted vision,  stiff neck"
205,Cervical spondylosis," back pain,  loss of balance,  weakness in limbs,  neck pain"
206,Cervical spondylosis," back pain,  loss of balance,  weakness in limbs,  neck pain"
207,Cervical spondylosis," neck pain,  back pain,  dizziness,  weakness in limbs,  loss of balance"
208,Cervical spondylosis," neck pain,  back pain,  dizziness,  weakness in limbs,  loss of balance"
209,Cervical spondylosis," dizziness,  weakness in limbs,  loss of balance,  neck pain"
210,Cervical spondylosis," dizziness,  back pain,  neck pain,  loss of balance"
211,Cervical spondylosis," back pain,  loss of balance,  weakness in limbs,  dizziness"
212,Cervical spondylosis," weakness in limbs,  loss of balance,  neck pain,  back pain"
213,Cervical spondylosis," back pain,  dizziness,  neck pain,  weakness in limbs"
214,Cervical spondylosis," loss of balance,  back pain,  neck pain,  weakness in limbs"
215,Cervical spondylosis," loss of balance,  back pain,  neck pain,  weakness in limbs"
216,Cervical spondylosis," dizziness,  weakness in limbs,  neck pain,  loss of balance"
217,Cervical spondylosis," neck pain,  back pain,  dizziness,  loss of balance"
218,Paralysis (brain hemorrhage)," altered sensorium,  headache,  weakness of one body side,  vomiting"
219,Paralysis (brain hemorrhage)," headache,  altered sensorium,  vomiting,  weakness of one body side"
220,Paralysis (brain hemorrhage)," headache,  altered sensorium,  weakness of one body side"
221,Paralysis (brain hemorrhage)," weakness of one body side,  altered sensorium,  vomiting"
222,Paralysis (brain hemorrhage)," vomiting,  headache,  altered sensorium"
223,Paralysis (brain hemorrhage)," headache,  vomiting,  weakness of one body side"
224,Paralysis (brain hemorrhage)," vomiting,  weakness of one body side,  headache,  altered sensorium"
225,Paralysis (brain hemorrhage)," headache,  weakness of one body side,  altered sensorium"
226,Paralysis (brain hemorrhage)," altered sensorium,  weakness of one body side,  vomiting"
227,Paralysis (brain hemorrhage)," vomiting,  altered sensorium,  headache"
228,Jaundice," abdominal pain, itching,  weight loss,  vomiting,  high fever,  fatigue,  yellowish skin"
229,Jaundice," abdominal pain, itching,  weight loss,  vomiting,  high fever,  fatigue,  yellowish skin"
230,Jaundice," high fever,  fatigue,  dark urine,  yellowish skin,  vomiting"
231,Jaundice," high fever,  fatigue,  dark urine,  yellowish skin,  vomiting"
232,Jaundice," abdominal pain,  high fever,  vomiting,  dark urine,  yellowish skin,  weight loss"
233,Jaundice," abdominal pain,  high fever,  vomiting,  dark urine,  yellowish skin,  weight loss"
234,Jaundice," yellowish skin,  fatigue, itching,  weight loss,  high fever,  abdominal pain"
235,Jaundice," yellowish skin,  fatigue, itching,  weight loss,  high fever,  abdominal pain"
236,Jaundice," vomiting, itching,  weight loss,  abdominal pain"
237,Jaundice," vomiting, itching,  weight loss,  abdominal pain"
238,Jaundice,"itching,  dark urine,  vomiting,  high fever"
239,Jaundice,"itching,  dark urine,  vomiting,  high fever"
240,Jaundice," vomiting,  dark urine,  abdominal pain,  fatigue,  yellowish skin,  weight loss"
241,Jaundice," vomiting,  dark urine,  abdominal pain,  fatigue,  yellowish skin,  weight loss"
242,Jaundice," weight loss,  abdominal pain,  dark urine,  vomiting, itching"
243,Jaundice," weight loss,  abdominal pain,  dark urine,  vomiting, itching"
244,Jaundice," vomiting,  fatigue,  yellowish skin,  weight loss, itching,  high fever"
245,Jaundice," vomiting,  fatigue,  yellowish skin,  weight loss, itching,  high fever"
246,Jaundice," high fever,  vomiting,  fatigue,  dark urine"
247,Jaundice," high fever,  vomiting,  fatigue,  dark urine"
248,Malaria," muscle pain,  chills,  nausea,  vomiting,  sweating,  headache,  high fever"
249,Malaria," muscle pain,  chills,  nausea,  vomiting,  sweating,  headache,  high fever"
250,Malaria," sweating,  diarrhoea,  chills,  vomiting,  headache,  nausea"
251,Malaria," sweating,  diarrhoea,  chills,  vomiting,  headache,  nausea"
252,Malaria," nausea,  headache,  sweating,  chills,  diarrhoea,  vomiting,  muscle pain"
253,Malaria," nausea,  headache,  sweating,  chills,  diarrhoea,  vomiting,  muscle pain"
254,Malaria," vomiting,  nausea,  sweating,  high fever,  muscle pain,  diarrhoea,  headache"
255,Malaria," vomiting,  nausea,  sweating,  high fever,  muscle pain,  diarrhoea,  headache"
256,Malaria," headache,  high fever,  muscle pain,  sweating,  diarrhoea,  nausea"
257,Malaria," headache,  high fever,  muscle pain,  sweating,  diarrhoea,  nausea"
258,Malaria," chills,  vomiting,  nausea,  sweating,  headache,  muscle pain,  diarrhoea"
259,Malaria," chills,  vomiting,  nausea,  sweating,  headache,  muscle pain,  diarrhoea"
260,Malaria," muscle pain,  headache,  vomiting,  chills"
261,Malaria," muscle pain,  headache,  vomiting,  chills"
262,Malaria," chills,  high fever,  vomiting,  nausea,  diarrhoea"
263,Malaria," chills,  high fever,  vomiting,  nausea,  diarrhoea"
264,Malaria," vomiting,  diarrhoea,  muscle pain,  sweating,  headache,  chills,  high fever"
265,Malaria," vomiting,  diarrhoea,  muscle pain,  sweating,  headache,  chills,  high fever"
266,Malaria," headache,  nausea,  vomiting,  high fever,  muscle pain"
267,Malaria," headache,  nausea,  vomiting,  high fever,  muscle pain"
268,Chicken pox," loss of appetite, itching,  malaise,  fatigue,  lethargy,  skin rash"
269,Chicken pox," loss of appetite, itching,  malaise,  fatigue,  lethargy,  skin rash"
270,Chicken pox," loss of appetite, itching,  malaise,  fatigue,  lethargy,  skin rash"
271,Chicken pox," loss of appetite, itching,  malaise,  fatigue,  lethargy,  skin rash"
272,Chicken pox," high fever,  lethargy,  fatigue,  swelled lymph nodes,  headache,  mild fever"
273,Chicken pox," high fever,  lethargy,  fatigue,  swelled lymph nodes,  headache,  mild fever"
274,Chicken pox," high fever,  lethargy,  fatigue,  swelled lymph nodes,  headache,  mild fever"
275,Chicken pox," high fever,  lethargy,  fatigue,  swelled lymph nodes,  headache,  mild fever"
276,Chicken pox,"itching,  mild fever,  high fever,  lethargy"
277,Chicken pox,"itching,  mild fever,  high fever,  lethargy"
278,Chicken pox,"itching,  mild fever,  high fever,  lethargy"
279,Chicken pox,"itching,  mild fever,  high fever,  lethargy"
280,Chicken pox," skin rash,  loss of appetite,  mild fever,  swelled lymph nodes,  malaise"
281,Chicken pox," skin rash,  loss of appetite,  mild fever,  swelled lymph nodes,  malaise"
282,Chicken pox," skin rash,  loss of appetite,  mild fever,  swelled lymph nodes,  malaise"
283,Chicken pox," skin rash,  loss of appetite,  mild fever,  swelled lymph nodes,  malaise"
284,Chicken pox," fatigue,  mild fever,  red spots over body,  malaise,  swelled lymph nodes,  loss of appetite"
285,Chicken pox," fatigue,  mild fever,  red spots over body,  malaise,  swelled lymph nodes,  loss of appetite"
286,Chicken pox," fatigue,  mild fever,  red spots over body,  malaise,  swelled lymph nodes,  loss of appetite"
287,Chicken pox," fatigue,  mild fever,  red spots over body,  malaise,  swelled lymph nodes,  loss of appetite"
288,Chicken pox," skin rash,  swelled lymph nodes,  red spots over body,  headache,  mild fever,  malaise"
289,Chicken pox," skin rash,  swelled lymph nodes,  red spots over body,  headache,  mild fever,  malaise"
290,Chicken pox," skin rash,  swelled lymph nodes,  red spots over body,  headache,  mild fever,  malaise"
291,Chicken pox," skin rash,  swelled lymph nodes,  red spots over body,  headache,  mild fever,  malaise"
292,Chicken pox," red spots over body,  skin rash,  high fever,  swelled lymph nodes, itching,  lethargy,  malaise"
293,Chicken pox," red spots over body,  skin rash,  high fever,  swelled lymph nodes, itching,  lethargy,  malaise"
294,Chicken pox," red spots over body,  skin rash,  high fever,  swelled lymph nodes, itching,  lethargy,  malaise"
295,Chicken pox," red spots over body,  skin rash,  high fever,  swelled lymph nodes, itching,  lethargy,  malaise"
296,Chicken pox," high fever,  swelled lymph nodes,  headache,  red spots over body,  lethargy,  mild fever, itching"
297,Chicken pox," high fever,  swelled lymph nodes,  headache,  red spots over body,  lethargy,  mild fever, itching"
298,Chicken pox," high fever,  swelled lymph nodes,  headache,  red spots over body,  lethargy,  mild fever, itching"
299,Chicken pox," high fever,  swelled lymph nodes,  headache,  red spots over body,  lethargy,  mild fever, itching"
300,Chicken pox," loss of appetite, itching,  swelled lymph nodes,  fatigue,  headache"
301,Chicken pox," loss of appetite, itching,  swelled lymph nodes,  fatigue,  headache"
302,Chicken pox," loss of appetite, itching,  swelled lymph nodes,  fatigue,  headache"
303,Chicken pox," loss of appetite, itching,  swelled lymph nodes,  fatigue,  headache"
304,Chicken pox," skin rash,  headache,  red spots over body,  fatigue"
305,Chicken pox," skin rash,  headache,  red spots over body,  fatigue"
306,Chicken pox," skin rash,  headache,  red spots over body,  fatigue"
307,Chicken pox," skin rash,  headache,  red spots over body,  fatigue"
308,Dengue," vomiting,  loss of appetite,  pain behind the eyes,  skin rash,  chills,  joint pain"
309,Dengue," vomiting,  loss of appetite,  pain behind the eyes,  skin rash,  chills,  joint pain"
310,Dengue," vomiting,  loss of appetite,  pain behind the eyes,  skin rash,  chills,  joint pain"
311,Dengue," vomiting,  loss of appetite,  pain behind the eyes,  skin rash,  chills,  joint pain"
312,Dengue," vomiting,  joint pain,  malaise,  chills,  back pain,  red spots over body"
313,Dengue," vomiting,  joint pain,  malaise,  chills,  back pain,  red spots over body"
314,Dengue," vomiting,  joint pain,  malaise,  chills,  back pain,  red spots over body"
315,Dengue," vomiting,  joint pain,  malaise,  chills,  back pain,  red spots over body"
316,Dengue," fatigue,  joint pain,  loss of appetite,  malaise,  vomiting,  pain behind the eyes"
317,Dengue," fatigue,  joint pain,  loss of appetite,  malaise,  vomiting,  pain behind the eyes"
318,Dengue," fatigue,  joint pain,  loss of appetite,  malaise,  vomiting,  pain behind the eyes"
319,Dengue," fatigue,  joint pain,  loss of appetite,  malaise,  vomiting,  pain behind the eyes"
320,Dengue," chills,  pain behind the eyes,  loss of appetite,  vomiting,  back pain,  nausea"
321,Dengue," chills,  pain behind the eyes,  loss of appetite,  vomiting,  back pain,  nausea"
322,Dengue," chills,  pain behind the eyes,  loss of appetite,  vomiting,  back pain,  nausea"
323,Dengue," chills,  pain behind the eyes,  loss of appetite,  vomiting,  back pain,  nausea"
324,Dengue," back pain,  fatigue,  joint pain,  red spots over body,  nausea"
325,Dengue," back pain,  fatigue,  joint pain,  red spots over body,  nausea"
326,Dengue," back pain,  fatigue,  joint pain,  red spots over body,  nausea"
327,Dengue," back pain,  fatigue,  joint pain,  red spots over body,  nausea"
328,Dengue," back pain,  red spots over body,  nausea,  fatigue,  malaise,  high fever,  loss of appetite"
329,Dengue," back pain,  red spots over body,  nausea,  fatigue,  malaise,  high fever,  loss of appetite"
330,Dengue," back pain,  red spots over body,  nausea,  fatigue,  malaise,  high fever,  loss of appetite"
331,Dengue," back pain,  red spots over body,  nausea,  fatigue,  malaise,  high fever,  loss of appetite"
332,Dengue," vomiting,  headache,  skin rash,  high fever"
333,Dengue," vomiting,  headache,  skin rash,  high fever"
334,Dengue," vomiting,  headache,  skin rash,  high fever"
335,Dengue," vomiting,  headache,  skin rash,  high fever"
336,Dengue," red spots over body,  skin rash,  pain behind the eyes,  high fever,  headache"
337,Dengue," red spots over body,  skin rash,  pain behind the eyes,  high fever,  headache"
