diseases,symptons
Chronic cholestasis,"itching,  nausea,  loss of appetite,  yellowish skin,  abdominal pain,  vomiting,  yellowing of eyes"
Chronic cholestasis,"itching,  nausea,  loss of appetite,  yellowish skin,  abdominal pain,  vomiting,  yellowing of eyes"
Chronic cholestasis," yellowish skin,  loss of appetite,  abdominal pain,  vomiting,  nausea,  yellowing of eyes"
Chronic cholestasis," yellowish skin,  loss of appetite,  abdominal pain,  vomiting,  nausea,  yellowing of eyes"
Chronic cholestasis," abdominal pain,  nausea, itching,  loss of appetite,  yellowing of eyes,  yellowish skin"
Chronic cholestasis," abdominal pain,  nausea, itching,  loss of appetite,  yellowing of eyes,  yellowish skin"
Chronic cholestasis,"itching,  nausea,  loss of appetite,  vomiting"
Chronic cholestasis,"itching,  nausea,  loss of appetite,  vomiting"
Chronic cholestasis," abdominal pain,  yellowing of eyes,  yellowish skin, itching"
Chronic cholestasis," abdominal pain,  yellowing of eyes,  yellowish skin, itching"
Chronic cholestasis," nausea,  yellowing of eyes,  yellowish skin,  abdominal pain,  vomiting"
Chronic cholestasis," nausea,  yellowing of eyes,  yellowish skin,  abdominal pain,  vomiting"
Chronic cholestasis," yellowing of eyes, itching,  loss of appetite,  nausea,  vomiting,  yellowish skin"
Chronic cholestasis," yellowing of eyes, itching,  loss of appetite,  nausea,  vomiting,  yellowish skin"
Chronic cholestasis," nausea,  yellowish skin, itching,  vomiting"
Chronic cholestasis," nausea,  yellowish skin, itching,  vomiting"
Chronic cholestasis," nausea,  yellowing of eyes,  vomiting,  yellowish skin, itching,  abdominal pain,  loss of appetite"
Chronic cholestasis," nausea,  yellowing of eyes,  vomiting,  yellowish skin, itching,  abdominal pain,  loss of appetite"
Chronic cholestasis," vomiting,  yellowish skin,  nausea,  abdominal pain"
Chronic cholestasis," vomiting,  yellowish skin,  nausea,  abdominal pain"
Drug Reaction,"itching,  burning micturition,  spotting  urination,  stomach pain,  skin rash"
Drug Reaction,"itching,  burning micturition,  spotting  urination,  stomach pain,  skin rash"
Drug Reaction," spotting  urination,  stomach pain,  burning micturition, itching"
Drug Reaction," spotting  urination, itching,  burning micturition,  skin rash"
Drug Reaction," skin rash,  spotting  urination, itching,  stomach pain"
Drug Reaction," skin rash,  burning micturition, itching,  stomach pain"
Drug Reaction," stomach pain,  burning micturition,  spotting  urination,  skin rash"
Drug Reaction," burning micturition, itching,  stomach pain,  spotting  urination"
Drug Reaction," spotting  urination,  skin rash, itching,  burning micturition"
Drug Reaction," spotting  urination,  stomach pain,  skin rash, itching"
Drug Reaction," burning micturition,  skin rash,  stomach pain, itching"
Peptic ulcer diseae," vomiting,  abdominal pain,  internal itching,  loss of appetite,  passage of gases"
Peptic ulcer diseae," vomiting,  abdominal pain,  internal itching,  loss of appetite,  passage of gases"
Peptic ulcer diseae," passage of gases,  internal itching,  vomiting,  indigestion,  abdominal pain"
Peptic ulcer diseae," passage of gases,  internal itching,  vomiting,  indigestion,  abdominal pain"
Peptic ulcer diseae," loss of appetite,  internal itching,  passage of gases,  abdominal pain,  indigestion"
Peptic ulcer diseae," loss of appetite,  internal itching,  passage of gases,  abdominal pain,  indigestion"
Peptic ulcer diseae," internal itching,  abdominal pain,  loss of appetite,  passage of gases"
Peptic ulcer diseae," internal itching,  abdominal pain,  loss of appetite,  passage of gases"
Peptic ulcer diseae," abdominal pain,  indigestion,  passage of gases,  vomiting,  internal itching"
Peptic ulcer diseae," abdominal pain,  indigestion,  passage of gases,  vomiting,  internal itching"
Peptic ulcer diseae," indigestion,  loss of appetite,  passage of gases,  vomiting,  internal itching"
Peptic ulcer diseae," indigestion,  loss of appetite,  passage of gases,  vomiting,  internal itching"
Peptic ulcer diseae," abdominal pain,  vomiting,  loss of appetite,  indigestion,  internal itching"
Peptic ulcer diseae," abdominal pain,  vomiting,  loss of appetite,  indigestion,  internal itching"
Peptic ulcer diseae," loss of appetite,  indigestion,  passage of gases,  abdominal pain,  vomiting"
Peptic ulcer diseae," loss of appetite,  indigestion,  passage of gases,  abdominal pain,  vomiting"
Peptic ulcer diseae," passage of gases,  indigestion,  loss of appetite,  vomiting"
Peptic ulcer diseae," passage of gases,  indigestion,  loss of appetite,  vomiting"
Peptic ulcer diseae," vomiting,  internal itching,  abdominal pain,  loss of appetite"
Peptic ulcer diseae," vomiting,  internal itching,  abdominal pain,  loss of appetite"
AIDS," high fever,  muscle wasting,  patches in throat,  extra marital contacts"
AIDS," extra marital contacts,  patches in throat,  high fever"
AIDS," muscle wasting,  high fever,  extra marital contacts"
AIDS," patches in throat,  extra marital contacts,  muscle wasting"
AIDS," patches in throat,  high fever,  muscle wasting"
AIDS," muscle wasting,  extra marital contacts,  high fever,  patches in throat"
AIDS," high fever,  patches in throat,  muscle wasting,  extra marital contacts"
AIDS," patches in throat,  high fever,  extra marital contacts"
AIDS," muscle wasting,  extra marital contacts,  high fever"
AIDS," high fever,  patches in throat,  muscle wasting"
Diabetes ," irregular sugar level,  blurred and distorted vision,  polyuria,  weight loss"
Diabetes ," irregular sugar level,  blurred and distorted vision,  polyuria,  weight loss"
Diabetes ," irregular sugar level,  blurred and distorted vision,  polyuria,  weight loss"
Diabetes ," irregular sugar level,  blurred and distorted vision,  polyuria,  weight loss"
Diabetes ," blurred and distorted vision,  lethargy,  polyuria,  excessive hunger,  weight loss,  restlessness,  fatigue"
Diabetes ," blurred and distorted vision,  lethargy,  polyuria,  excessive hunger,  weight loss,  restlessness,  fatigue"
Diabetes ," blurred and distorted vision,  lethargy,  polyuria,  excessive hunger,  weight loss,  restlessness,  fatigue"
Diabetes ," blurred and distorted vision,  lethargy,  polyuria,  excessive hunger,  weight loss,  restlessness,  fatigue"
Diabetes ," blurred and distorted vision,  excessive hunger,  obesity,  restlessness,  lethargy,  increased appetite"
Diabetes ," blurred and distorted vision,  excessive hunger,  obesity,  restlessness,  lethargy,  increased appetite"
Diabetes ," blurred and distorted vision,  excessive hunger,  obesity,  restlessness,  lethargy,  increased appetite"
Diabetes ," blurred and distorted vision,  excessive hunger,  obesity,  restlessness,  lethargy,  increased appetite"
Diabetes ," restlessness,  obesity,  fatigue,  lethargy,  excessive hunger,  increased appetite"
Diabetes ," restlessness,  obesity,  fatigue,  lethargy,  excessive hunger,  increased appetite"
Diabetes ," restlessness,  obesity,  fatigue,  lethargy,  excessive hunger,  increased appetite"
Diabetes ," restlessness,  obesity,  fatigue,  lethargy,  excessive hunger,  increased appetite"
Diabetes ," lethargy,  obesity,  weight loss,  blurred and distorted vision,  increased appetite,  polyuria"
Diabetes ," lethargy,  obesity,  weight loss,  blurred and distorted vision,  increased appetite,  polyuria"
Diabetes ," lethargy,  obesity,  weight loss,  blurred and distorted vision,  increased appetite,  polyuria"
Diabetes ," lethargy,  obesity,  weight loss,  blurred and distorted vision,  increased appetite,  polyuria"
Diabetes ," obesity,  polyuria,  increased appetite,  fatigue,  restlessness,  irregular sugar level,  blurred and distorted vision"
Diabetes ," obesity,  polyuria,  increased appetite,  fatigue,  restlessness,  irregular sugar level,  blurred and distorted vision"
Diabetes ," obesity,  polyuria,  increased appetite,  fatigue,  restlessness,  irregular sugar level,  blurred and distorted vision"
Diabetes ," obesity,  polyuria,  increased appetite,  fatigue,  restlessness,  irregular sugar level,  blurred and distorted vision"
Diabetes ," obesity,  polyuria,  increased appetite,  blurred and distorted vision,  weight loss,  fatigue,  restlessness"
Diabetes ," obesity,  polyuria,  increased appetite,  blurred and distorted vision,  weight loss,  fatigue,  restlessness"
Diabetes ," obesity,  polyuria,  increased appetite,  blurred and distorted vision,  weight loss,  fatigue,  restlessness"
Diabetes ," obesity,  polyuria,  increased appetite,  blurred and distorted vision,  weight loss,  fatigue,  restlessness"
Diabetes ," fatigue,  restlessness,  lethargy,  obesity,  irregular sugar level,  weight loss"
Diabetes ," fatigue,  restlessness,  lethargy,  obesity,  irregular sugar level,  weight loss"
Diabetes ," fatigue,  restlessness,  lethargy,  obesity,  irregular sugar level,  weight loss"
Diabetes ," fatigue,  restlessness,  lethargy,  obesity,  irregular sugar level,  weight loss"
Diabetes ," fatigue,  restlessness,  irregular sugar level,  weight loss,  lethargy"
Diabetes ," fatigue,  restlessness,  irregular sugar level,  weight loss,  lethargy"
Diabetes ," fatigue,  restlessness,  irregular sugar level,  weight loss,  lethargy"
Diabetes ," fatigue,  restlessness,  irregular sugar level,  weight loss,  lethargy"
Diabetes ," weight loss,  polyuria,  blurred and distorted vision,  obesity"
Diabetes ," weight loss,  polyuria,  blurred and distorted vision,  obesity"
Diabetes ," weight loss,  polyuria,  blurred and distorted vision,  obesity"
Diabetes ," weight loss,  polyuria,  blurred and distorted vision,  obesity"
Gastroenteritis," dehydration,  sunken eyes,  diarrhoea,  vomiting"
Gastroenteritis," vomiting,  dehydration,  diarrhoea,  sunken eyes"
Gastroenteritis," sunken eyes,  dehydration,  diarrhoea"
Gastroenteritis," vomiting,  diarrhoea,  dehydration"
Gastroenteritis," sunken eyes,  vomiting,  diarrhoea"
Gastroenteritis," dehydration,  vomiting,  sunken eyes"
Gastroenteritis," vomiting,  diarrhoea,  dehydration,  sunken eyes"
Gastroenteritis," dehydration,  diarrhoea,  sunken eyes"
Gastroenteritis," diarrhoea,  vomiting,  dehydration"
Gastroenteritis," diarrhoea,  sunken eyes,  vomiting"
Bronchial Asthma," breathlessness,  cough,  fatigue,  high fever,  mucoid sputum"
Bronchial Asthma," breathlessness,  cough,  fatigue,  high fever,  mucoid sputum"
Bronchial Asthma," mucoid sputum,  breathlessness,  high fever,  cough,  family history"
Bronchial Asthma," mucoid sputum,  breathlessness,  high fever,  cough,  family history"
Bronchial Asthma," breathlessness,  mucoid sputum,  high fever,  family history"
Bronchial Asthma," breathlessness,  mucoid sputum,  high fever,  family history"
Bronchial Asthma," fatigue,  breathlessness,  family history,  mucoid sputum"
Bronchial Asthma," fatigue,  breathlessness,  family history,  mucoid sputum"
Bronchial Asthma," family history,  mucoid sputum,  cough,  fatigue,  high fever"
Bronchial Asthma," family history,  mucoid sputum,  cough,  fatigue,  high fever"
Bronchial Asthma," high fever,  fatigue,  mucoid sputum,  breathlessness,  cough"
Bronchial Asthma," high fever,  fatigue,  mucoid sputum,  breathlessness,  cough"
Bronchial Asthma," cough,  fatigue,  breathlessness,  family history,  high fever"
Bronchial Asthma," cough,  fatigue,  breathlessness,  family history,  high fever"
Bronchial Asthma," high fever,  family history,  fatigue,  cough"
Bronchial Asthma," high fever,  family history,  fatigue,  cough"
Bronchial Asthma," family history,  cough,  high fever,  mucoid sputum"
Bronchial Asthma," family history,  cough,  high fever,  mucoid sputum"
Bronchial Asthma," fatigue,  family history,  high fever,  breathlessness,  mucoid sputum"
Bronchial Asthma," fatigue,  family history,  high fever,  breathlessness,  mucoid sputum"
Hypertension ," loss of balance,  chest pain,  lack of concentration,  headache,  dizziness"
Hypertension ," loss of balance,  chest pain,  lack of concentration,  headache,  dizziness"
Hypertension ," lack of concentration,  dizziness,  loss of balance,  chest pain"
Hypertension ," headache,  dizziness,  loss of balance,  lack of concentration"
Hypertension ," headache,  chest pain,  loss of balance,  lack of concentration"
Hypertension ," headache,  dizziness,  lack of concentration,  chest pain"
Hypertension ," chest pain,  dizziness,  headache,  loss of balance"
Hypertension ," loss of balance,  headache,  lack of concentration,  chest pain,  dizziness"
Hypertension ," loss of balance,  headache,  lack of concentration,  chest pain,  dizziness"
Hypertension ," chest pain,  lack of concentration,  loss of balance,  dizziness"
Hypertension ," headache,  lack of concentration,  loss of balance,  dizziness"
Hypertension ," chest pain,  loss of balance,  headache,  lack of concentration"
Migraine," excessive hunger,  headache,  indigestion,  stiff neck"
Migraine," excessive hunger,  headache,  indigestion,  stiff neck"
Migraine," excessive hunger,  headache,  indigestion,  stiff neck"
Migraine," excessive hunger,  headache,  indigestion,  stiff neck"
Migraine," stiff neck,  irritability,  indigestion,  blurred and distorted vision,  depression,  visual disturbances"
Migraine," stiff neck,  irritability,  indigestion,  blurred and distorted vision,  depression,  visual disturbances"
Migraine," visual disturbances,  acidity,  excessive hunger,  irritability,  depression"
Migraine," visual disturbances,  acidity,  excessive hunger,  irritability,  depression"
Migraine," indigestion,  stiff neck,  visual disturbances,  irritability,  blurred and distorted vision,  excessive hunger"
Migraine," indigestion,  stiff neck,  visual disturbances,  irritability,  blurred and distorted vision,  excessive hunger"
Migraine," stiff neck,  irritability,  headache,  acidity,  excessive hunger,  indigestion"
Migraine," stiff neck,  irritability,  headache,  acidity,  excessive hunger,  indigestion"
Migraine," indigestion,  depression,  stiff neck,  irritability,  headache"
Migraine," indigestion,  depression,  stiff neck,  irritability,  headache"
Migraine," blurred and distorted vision,  headache,  acidity,  excessive hunger,  depression,  irritability,  indigestion"
Migraine," blurred and distorted vision,  headache,  acidity,  excessive hunger,  depression,  irritability,  indigestion"
Migraine," visual disturbances,  blurred and distorted vision,  headache,  excessive hunger,  stiff neck"
Migraine," visual disturbances,  blurred and distorted vision,  headache,  excessive hunger,  stiff neck"
Migraine," headache,  acidity,  visual disturbances,  blurred and distorted vision"
Migraine," headache,  acidity,  visual disturbances,  blurred and distorted vision"
Migraine," stiff neck,  excessive hunger,  indigestion,  depression"
Migraine," stiff neck,  excessive hunger,  indigestion,  depression"
Cervical spondylosis," back pain,  dizziness,  loss of balance,  neck pain,  weakness in limbs"
Cervical spondylosis," back pain,  dizziness,  loss of balance,  neck pain,  weakness in limbs"
Cervical spondylosis," weakness in limbs,  neck pain,  dizziness,  back pain"
Cervical spondylosis," weakness in limbs,  neck pain,  dizziness,  back pain"
Cervical spondylosis," neck pain,  dizziness,  weakness in limbs,  loss of balance"
Cervical spondylosis," dizziness,  back pain,  neck pain,  loss of balance"
Cervical spondylosis," weakness in limbs,  loss of balance,  dizziness,  back pain"
Cervical spondylosis," neck pain,  back pain,  loss of balance,  weakness in limbs"
Cervical spondylosis," dizziness,  back pain,  neck pain,  weakness in limbs"
Cervical spondylosis," dizziness,  back pain,  neck pain,  weakness in limbs,  loss of balance"
Cervical spondylosis," dizziness,  back pain,  neck pain,  weakness in limbs,  loss of balance"
Cervical spondylosis," neck pain,  weakness in limbs,  loss of balance,  dizziness"
Cervical spondylosis," loss of balance,  neck pain,  dizziness,  back pain"
Paralysis (brain hemorrhage)," weakness of one body side,  headache,  altered sensorium,  vomiting"
Paralysis (brain hemorrhage)," altered sensorium,  weakness of one body side,  vomiting,  headache"
Paralysis (brain hemorrhage)," headache,  weakness of one body side,  altered sensorium"
Paralysis (brain hemorrhage)," altered sensorium,  weakness of one body side,  vomiting"
Paralysis (brain hemorrhage)," headache,  altered sensorium,  vomiting"
Paralysis (brain hemorrhage)," weakness of one body side,  vomiting,  headache"
Paralysis (brain hemorrhage)," altered sensorium,  weakness of one body side,  headache,  vomiting"
Paralysis (brain hemorrhage)," altered sensorium,  weakness of one body side,  headache"
Paralysis (brain hemorrhage)," altered sensorium,  vomiting,  weakness of one body side"
Paralysis (brain hemorrhage)," altered sensorium,  headache,  vomiting"
Jaundice," yellowish skin,  abdominal pain,  dark urine,  weight loss,  high fever"
Jaundice," yellowish skin,  abdominal pain,  dark urine,  weight loss,  high fever"
Jaundice," high fever,  vomiting,  weight loss, itching,  dark urine,  yellowish skin,  fatigue"
Jaundice," high fever,  vomiting,  weight loss, itching,  dark urine,  yellowish skin,  fatigue"
Jaundice," dark urine,  vomiting,  abdominal pain,  high fever,  fatigue,  yellowish skin,  weight loss"
Jaundice," dark urine,  vomiting,  abdominal pain,  high fever,  fatigue,  yellowish skin,  weight loss"
Jaundice," fatigue,  high fever,  yellowish skin, itching,  weight loss,  abdominal pain"
Jaundice," fatigue,  high fever,  yellowish skin, itching,  weight loss,  abdominal pain"
Jaundice," vomiting,  high fever,  abdominal pain,  dark urine,  yellowish skin, itching,  weight loss"
Jaundice," vomiting,  high fever,  abdominal pain,  dark urine,  yellowish skin, itching,  weight loss"
Jaundice," vomiting, itching,  dark urine,  abdominal pain"
Jaundice," vomiting, itching,  dark urine,  abdominal pain"
Jaundice," fatigue,  vomiting, itching,  dark urine,  weight loss,  yellowish skin"
Jaundice," fatigue,  vomiting, itching,  dark urine,  weight loss,  yellowish skin"
Jaundice," abdominal pain,  dark urine, itching,  high fever,  weight loss,  vomiting"
Jaundice," abdominal pain,  dark urine, itching,  high fever,  weight loss,  vomiting"
Jaundice," fatigue,  high fever,  vomiting,  yellowish skin,  abdominal pain,  weight loss, itching"
Jaundice," fatigue,  high fever,  vomiting,  yellowish skin,  abdominal pain,  weight loss, itching"
Jaundice," yellowish skin,  vomiting, itching,  weight loss"
Jaundice," yellowish skin,  vomiting, itching,  weight loss"
Malaria," sweating,  muscle pain,  chills,  nausea,  vomiting"
Malaria," sweating,  muscle pain,  chills,  nausea,  vomiting"
Malaria," high fever,  vomiting,  nausea,  chills,  muscle pain,  diarrhoea,  sweating"
Malaria," high fever,  vomiting,  nausea,  chills,  muscle pain,  diarrhoea,  sweating"
Malaria," headache,  nausea,  muscle pain,  sweating,  vomiting,  high fever"
Malaria," headache,  nausea,  muscle pain,  sweating,  vomiting,  high fever"
Malaria," diarrhoea,  sweating,  high fever,  nausea,  vomiting,  muscle pain"
Malaria," diarrhoea,  sweating,  high fever,  nausea,  vomiting,  muscle pain"
Malaria," high fever,  sweating,  headache,  nausea,  diarrhoea,  chills"
Malaria," high fever,  sweating,  headache,  nausea,  diarrhoea,  chills"
Malaria," muscle pain,  headache,  chills,  nausea,  diarrhoea,  vomiting,  sweating"
Malaria," muscle pain,  headache,  chills,  nausea,  diarrhoea,  vomiting,  sweating"
Malaria," high fever,  chills,  headache,  nausea"
Malaria," high fever,  chills,  headache,  nausea"
Malaria," chills,  nausea,  vomiting,  diarrhoea,  sweating,  high fever"
Malaria," chills,  nausea,  vomiting,  diarrhoea,  sweating,  high fever"
Malaria," headache,  sweating,  vomiting,  diarrhoea,  chills,  muscle pain,  high fever"
Malaria," headache,  sweating,  vomiting,  diarrhoea,  chills,  muscle pain,  high fever"
Malaria," headache,  high fever,  nausea,  sweating"
Malaria," headache,  high fever,  nausea,  sweating"
Chicken pox,"itching,  swelled lymph nodes,  high fever,  lethargy,  mild fever,  malaise,  red spots over body"
Chicken pox,"itching,  swelled lymph nodes,  high fever,  lethargy,  mild fever,  malaise,  red spots over body"
Chicken pox,"itching,  swelled lymph nodes,  high fever,  lethargy,  mild fever,  malaise,  red spots over body"
Chicken pox,"itching,  swelled lymph nodes,  high fever,  lethargy,  mild fever,  malaise,  red spots over body"
Chicken pox," skin rash,  fatigue,  lethargy,  high fever,  swelled lymph nodes"
Chicken pox," skin rash,  fatigue,  lethargy,  high fever,  swelled lymph nodes"
Chicken pox," skin rash,  fatigue,  lethargy,  high fever,  swelled lymph nodes"
Chicken pox," skin rash,  fatigue,  lethargy,  high fever,  swelled lymph nodes"
Chicken pox," headache,  swelled lymph nodes,  malaise,  mild fever,  red spots over body,  loss of appetite"
Chicken pox," headache,  swelled lymph nodes,  malaise,  mild fever,  red spots over body,  loss of appetite"
Chicken pox," headache,  swelled lymph nodes,  malaise,  mild fever,  red spots over body,  loss of appetite"
Chicken pox," headache,  swelled lymph nodes,  malaise,  mild fever,  red spots over body,  loss of appetite"
Chicken pox," headache,  red spots over body,  skin rash,  swelled lymph nodes"
Chicken pox," headache,  red spots over body,  skin rash,  swelled lymph nodes"
Chicken pox," headache,  red spots over body,  skin rash,  swelled lymph nodes"
Chicken pox," headache,  red spots over body,  skin rash,  swelled lymph nodes"
Chicken pox," headache,  red spots over body,  high fever,  malaise,  fatigue,  loss of appetite"
Chicken pox," headache,  red spots over body,  high fever,  malaise,  fatigue,  loss of appetite"
Chicken pox," headache,  red spots over body,  high fever,  malaise,  fatigue,  loss of appetite"
Chicken pox," headache,  red spots over body,  high fever,  malaise,  fatigue,  loss of appetite"
Chicken pox," loss of appetite,  swelled lymph nodes,  headache,  lethargy,  skin rash, itching"
Chicken pox," loss of appetite,  swelled lymph nodes,  headache,  lethargy,  skin rash, itching"
Chicken pox," loss of appetite,  swelled lymph nodes,  headache,  lethargy,  skin rash, itching"
Chicken pox," loss of appetite,  swelled lymph nodes,  headache,  lethargy,  skin rash, itching"
Chicken pox," lethargy,  mild fever,  swelled lymph nodes,  loss of appetite, itching,  high fever"
Chicken pox," lethargy,  mild fever,  swelled lymph nodes,  loss of appetite, itching,  high fever"
Chicken pox," lethargy,  mild fever,  swelled lymph nodes,  loss of appetite, itching,  high fever"
Chicken pox," lethargy,  mild fever,  swelled lymph nodes,  loss of appetite, itching,  high fever"
Chicken pox,"itching,  fatigue,  swelled lymph nodes,  lethargy,  headache,  malaise"
Chicken pox,"itching,  fatigue,  swelled lymph nodes,  lethargy,  headache,  malaise"
Chicken pox,"itching,  fatigue,  swelled lymph nodes,  lethargy,  headache,  malaise"
Chicken pox,"itching,  fatigue,  swelled lymph nodes,  lethargy,  headache,  malaise"
Chicken pox," swelled lymph nodes,  fatigue,  red spots over body,  lethargy"
Chicken pox," swelled lymph nodes,  fatigue,  red spots over body,  lethargy"
Chicken pox," swelled lymph nodes,  fatigue,  red spots over body,  lethargy"
Chicken pox," swelled lymph nodes,  fatigue,  red spots over body,  lethargy"
Chicken pox," fatigue,  skin rash,  mild fever,  red spots over body,  malaise,  lethargy,  headache"
Chicken pox," fatigue,  skin rash,  mild fever,  red spots over body,  malaise,  lethargy,  headache"
Chicken pox," fatigue,  skin rash,  mild fever,  red spots over body,  malaise,  lethargy,  headache"
Chicken pox," fatigue,  skin rash,  mild fever,  red spots over body,  malaise,  lethargy,  headache"
Dengue," high fever,  skin rash,  back pain,  red spots over body"
Dengue," high fever,  skin rash,  back pain,  red spots over body"
Dengue," high fever,  skin rash,  back pain,  red spots over body"
Dengue," high fever,  skin rash,  back pain,  red spots over body"
Dengue," fatigue,  high fever,  vomiting,  loss of appetite,  chills"
Dengue," fatigue,  high fever,  vomiting,  loss of appetite,  chills"
Dengue," fatigue,  high fever,  vomiting,  loss of appetite,  chills"
Dengue," fatigue,  high fever,  vomiting,  loss of appetite,  chills"
Dengue," back pain,  headache,  vomiting,  loss of appetite,  pain behind the eyes,  fatigue"
Dengue," back pain,  headache,  vomiting,  loss of appetite,  pain behind the eyes,  fatigue"
Dengue," back pain,  headache,  vomiting,  loss of appetite,  pain behind the eyes,  fatigue"
Dengue," back pain,  headache,  vomiting,  loss of appetite,  pain behind the eyes,  fatigue"
Dengue," pain behind the eyes,  red spots over body,  chills,  joint pain,  fatigue"
Dengue," pain behind the eyes,  red spots over body,  chills,  joint pain,  fatigue"
Dengue," pain behind the eyes,  red spots over body,  chills,  joint pain,  fatigue"
Dengue," pain behind the eyes,  red spots over body,  chills,  joint pain,  fatigue"
Dengue," chills,  muscle pain,  vomiting,  headache"
Dengue," chills,  muscle pain,  vomiting,  headache"
Dengue," chills,  muscle pain,  vomiting,  headache"
Dengue," chills,  muscle pain,  vomiting,  headache"
Dengue," high fever,  nausea,  malaise,  red spots over body,  headache"
Dengue," high fever,  nausea,  malaise,  red spots over body,  headache"
Dengue," high fever,  nausea,  malaise,  red spots over body,  headache"
Dengue," high fever,  nausea,  malaise,  red spots over body,  headache"
Dengue," nausea,  pain behind the eyes,  chills,  vomiting"
Dengue," nausea,  pain behind the eyes,  chills,  vomiting"
Dengue," nausea,  pain behind the eyes,  chills,  vomiting"
Dengue," nausea,  pain behind the eyes,  chills,  vomiting"
Dengue," malaise,  skin rash,  nausea,  red spots over body,  back pain,  headache,  chills"
Dengue," malaise,  skin rash,  nausea,  red spots over body,  back pain,  headache,  chills"
Dengue," malaise,  skin rash,  nausea,  red spots over body,  back pain,  headache,  chills"
Dengue," malaise,  skin rash,  nausea,  red spots over body,  back pain,  headache,  chills"
Dengue," headache,  high fever,  chills,  vomiting"
Dengue," headache,  high fever,  chills,  vomiting"
Dengue," headache,  high fever,  chills,  vomiting"
Dengue," headache,  high fever,  chills,  vomiting"
Dengue," chills,  red spots over body,  malaise,  muscle pain"
Dengue," chills,  red spots over body,  malaise,  muscle pain"
Dengue," chills,  red spots over body,  malaise,  muscle pain"
Dengue," chills,  red spots over body,  malaise,  muscle pain"
Typhoid," high fever,  abdominal pain,  constipation,  nausea,  toxic look (typhos),  chills"
Typhoid," high fever,  abdominal pain,  constipation,  nausea,  toxic look (typhos),  chills"
Typhoid," high fever,  abdominal pain,  constipation,  nausea,  toxic look (typhos),  chills"
Typhoid," high fever,  abdominal pain,  constipation,  nausea,  toxic look (typhos),  chills"
Typhoid," diarrhoea,  headache,  belly pain,  fatigue,  chills,  vomiting,  constipation"
Typhoid," diarrhoea,  headache,  belly pain,  fatigue,  chills,  vomiting,  constipation"
Typhoid," diarrhoea,  headache,  belly pain,  fatigue,  chills,  vomiting,  constipation"
Typhoid," diarrhoea,  headache,  belly pain,  fatigue,  chills,  vomiting,  constipation"
Typhoid," toxic look (typhos),  diarrhoea,  fatigue,  chills,  headache"
Typhoid," toxic look (typhos),  diarrhoea,  fatigue,  chills,  headache"
Typhoid," toxic look (typhos),  diarrhoea,  fatigue,  chills,  headache"
Typhoid," toxic look (typhos),  diarrhoea,  fatigue,  chills,  headache"
Typhoid," chills,  constipation,  nausea,  diarrhoea,  vomiting"
Typhoid," chills,  constipation,  nausea,  diarrhoea,  vomiting"
